大分類,分類,代碼,中文名稱,支付點數(115.09.01),常用別名/縮寫,常見申報提醒(非官方),支付規範摘要
處置,泌尿處置,50001C,尿道徑測量,,尿道口徑 calibration,,
處置,泌尿處置,50002C,尿道口切開術,,meatotomy 尿道口切開,,
處置,泌尿處置,50003C,包莖側面或背面切開,,dorsal slit 包皮背切 包莖切開,,
處置,泌尿處置,50004C,生殖器異物摘除術,,,,良性腫瘤切除(benigntumorexcision)比照申報。
處置,泌尿處置,50005C,濕疣電燒灼入,,尖頭濕疣 菜花 condyloma 電燒,,
處置,泌尿處置,50006C,膀胱造口引流換洗,,cystostomy care 膀胱造口 換洗,,
處置,泌尿處置,50007C,腎造口引流管換洗,,PCN care nephrostomy 腎造廔 換洗,,
處置,泌尿處置,50008C,人工膀胱之擴張,,,,
處置,泌尿處置,50009C,前列腺按摩,,prostate massage EPS 攝護腺按摩,,
處置,泌尿處置,50010C,經膀胱鏡逆行尿管導管,,retrograde ureteral catheterization RP 逆行性導管,,移除雙J輸尿管導管(removedoubleJureteralcath)比照申報
處置,泌尿處置,50011C,膀胱灌注,,BCG 化療灌注 intravesical instillation mitomycin epirubicin 膀胱灌藥,,
處置,泌尿處置,50012C,膀胱沖洗,,bladder irrigation 沖膀胱,,
處置,泌尿處置,50013C,尿道擴張,,urethral dilatation 尿道擴張 sounding,,
處置,泌尿處置,50014C,膀胱24小時連續沖洗,,CBI continuous bladder irrigation 連續沖洗,,沖洗藥水按使用量申報。
處置,泌尿處置,50015C,濕疣外科化學療法,,condyloma podophyllin 菜花 藥物,,
處置,泌尿處置,50016C,外尿道邊膿瘍切開術,,,,
處置,泌尿處置,50017C,陰囊膿瘍切開,,scrotal abscess I&D,,
處置,泌尿處置,50018C,巴氏囊腫引流術，單側,,,,
處置,泌尿處置,50019C,雙J輸尿管導管置入術,,DJ D-J double J stent 雙J 輸尿管支架 導管置放,,
處置,泌尿處置,50020C,包莖環切術,,circumcision 割包皮 包皮環切 包皮切除,,註:兒童加成項目。
處置,泌尿處置,50021C,徒手睪丸扭轉整復,,testicular torsion manual detorsion 睪丸扭轉,,
處置,泌尿處置,50022C,更換腎臟引流或膀胱引流管,,換管 PCN換管 cystostomy change 更換引流管 換膀胱造口管,,
處置,泌尿處置,50023B,尿路結石體外震波碎石術第一次,,ESWL SWL 震波碎石 體外碎石,ESWL「第一次」；30 日內對同一側再次執行才能改用 50024B「第二次」，同日雙側施行時另一側才以第二次計，詳見上方支付規範。,1.包括下列項目includingfollowingitems(1)治療費treatmentfee(2)一般材料費及特材費(不得再申報電擊棒之特材費用)generalmaterialfee&specialmaterialfee(3)機器維護費machinemaintenancefee(4)手術費operationfee2.第二次係指三十日內實施之第二次。3.本項以「側」為給付單位，同側不同病灶之部位同日施行治療，以治療乙次計。4.同日施行兩側治療，另一側以第二次計。5.三十日內同側第三次以上治療，應檢具X光片專案申請，經保險人同意後施行，費用比照第二次申報。6.申報費用應檢附當次暨前次實施體外電震波腎臟碎石術(ESWL)紀錄影本憑核。7.麻醉費得另外申報。8.完全鹿角結石之第一次治療，須事前專案申請並詳細說明其必要性。9.醫療機構條件：(1)應為醫院。(2)應有專任之泌尿科專科醫師二名以上；離島地區醫療機構應有一名專任之泌尿科專科醫師，另一名泌尿科專科醫師得以兼任方式為之；非離島地區醫療機構，若一名泌尿科醫師係以「醫學中心支援離島及醫療資源不足地區醫院緊急醫療照護服務獎勵計畫」全年全時段支援該院，得比照上述離島地區規定。(3)應有下列經皮腎結石取石術及輸尿管鏡碎石手術設備：A.X光透視機B.腎臟鏡C.輸尿管鏡D.至少ㄧ種經內視鏡碎石機(如氣動式撞擊碎石機超音波碎石機、雷射碎石機、電擊碎石(electrohydrauliclithotriptor))。10.操作醫師資格：應具泌尿科專科醫師資格，並符合下列條件：(1)實際操作體外震波碎石機五十例以上之經驗，經服務醫院審查通過，發給證明文件。(2)依操作機型，應有下列相關訓練：A.操作ｘ光線定位機型，應有輻射安全證書或輻射防護訓練證明。B.操作超音波定位機型，應有泌尿系統超音波訓練證明。11.適應症符合下列任一條件：(1)輸尿管結石零點五公分以上。(2)輸尿管結石未滿零點五公分且併有明顯阻塞性腎水腫、重複感染或重複腎絞痛者。(3)腎臟結石或腎盞結石零點五公分以上至二公分以下。
